Symbol,Company,Sector,MarketCap,Payout Ratio,RevenueGrowth,OperatingMargin,BookValue,FreeCashFlow,TrailingPE,ForwardPE,EPS,ROE,ProfitMargin,DebttoEquity,revenue,gross_profits,ebitda,net_income,eps_forward,eps_growth,dividend_yield,dividend_rate,target_mean_price,target_high_price,target_low_price,Fair Value (Trailing),Fair Value (Forward),Last Open,Last Close,52W High,52W Low,MA10,MA14,MA20,MA30,MA50,MA60,MA75,MA100,MA150,MA200,MA250
ECL,Ecolab Inc.,Basic Materials,77994008576,0.37,0.18,0.15,23.46,1397549952,39.51,36.67,6.96,0.22,0.12,103.92,15890400256,7048600064,3809100032,1984600064,7.5,,0.95,2.6,291.75,325,248,274.99,274.99,273.18,274.99,285.35,220.55,263.92,262.65,260.93,265.27,267.91,268.35,270.56,269.72,266.56,262.75,258.4
ED,"Consolidated Edison, Inc.",Utilities,36144091136,0.59,0.11,0.25,66.95,-85625000,17.51,17.82,5.72,0.09,0.12,110.37,16593000448,8862999552,5948000256,2036000000,5.62,0.12,3.4,3.4,104.71,128,95,100.14,100.14,99.22,100.14,112.97,85.07,100.54,99.9,98.86,99.1,98.89,98.45,98.65,99.19,100.09,100.73,98.49
EFX,Equifax Inc.,Industrials,26204082176,0.34,0.07,0.2,40.28,909025024,40.13,22.6,5.3,0.13,0.11,94.82,5943300096,3393900032,1856600064,658499968,9.41,0.14,0.94,2,267.8,300,239,212.7,212.7,213.41,212.7,279.93,199.2,208.4,208.53,208.45,214.74,226.48,230.92,233.86,237.36,245.92,243.59,246.68
EG,"Everest Group, Ltd.",Financial Services,13098413056,0.6,-0.01,0.08,366.07,4658250240,23.2,4.69,13.45,0.04,0.03,23.34,17677000704,810000000,,547000000,66.47,-0.48,2.56,8,368.86,446,330,312.03,312.03,311.22,312.03,387.65,302.44,315.93,318.82,318,325.17,334.72,335.73,336.71,335.78,337.81,340.39,343.55
EIX,Edison International,Utilities,22744764416,0.43,0.11,0.33,40.31,-1152999936,7.75,10.37,7.63,0.16,0.16,204.02,18087999488,10131000320,7310000128,2951000064,5.7,0.64,5.6,3.31,66.71,86,55,59.11,59.11,59.09,59.11,83.74,46.27,58.49,58.28,57.52,57.38,56.11,55.82,55.58,54.63,53.84,53.74,56.32
EL,The Estée Lauder Companies Inc.,Consumer Defensive,33765754880,4.71,0.04,0.07,10.79,1587500032,,34.7,-2.59,-0.21,-0.06,242.21,14446000128,10714999808,2072000000,-930000000,2.7,,1.49,1.4,102.17,122,65,,93.7,92.24,93.7,104.53,47.94,89.37,89.57,90.66,93.62,91.95,91.23,91.04,90.66,83.39,78.64,77.98
ELV,"Elevance Health, Inc.",Healthcare,76227354624,0.28,0.12,0.03,197.95,5116000256,13.79,9.69,24.54,0.13,0.03,72.82,1.9482E+11,51162001408,8924000256,5533000192,34.95,0.22,2.02,6.84,387.16,507,297,338.52,338.52,336.16,338.52,454.26,272.22,326.6,323.6,321.6,329.49,332.33,328.56,324.69,317.83,340.17,358.11,362.91
EME,"EMCOR Group, Inc.",Industrials,27339407360,0.04,0.16,0.09,74.51,860133760,24.57,27.37,24.86,0.37,0.07,12.91,16243319808,3148816896,1709731968,1130370944,22.31,0.13,0.16,1,758.5,900,675,610.72,610.72,609.45,610.72,778.64,320.42,605.45,617.46,631.27,659.42,658.31,653.2,645.6,632.72,579.69,532.09,521.14
EMR,Emerson Electric Co.,Industrials,73974431744,0.52,0.05,0.21,36.04,2741250048,32.53,20.8,4.04,0.09,0.13,67.78,18016000000,9518999552,5040000000,2284999936,6.32,-0.35,1.69,2.22,150.51,183,111,131.44,131.44,131.52,131.44,149.68,89.31,128.02,128.53,130.7,131.01,130.85,131.15,131.27,133.54,129.23,124.37,124.46
EOG,"EOG Resources, Inc.",Energy,57984499712,0.38,-0.02,0.33,55.69,2926749952,10.55,9.6,10.07,0.18,0.24,26.84,22653999104,14110999552,11760000000,5529999872,11.06,-0.09,3.84,4.08,137.81,165,114,106.2,106.2,105.6,106.2,134.2,99.8,107.71,107.65,106.98,106.79,108.72,110.26,112.15,113.53,113.57,114.91,116.78
EPAM,"EPAM Systems, Inc.",Technology,10286662656,0,0.19,0.11,67.49,568759616,28.15,16.5,6.56,0.1,0.07,4.17,5297859072,1532755968,695675008,371623008,11.19,-0.19,,,207.88,255,160,184.69,184.69,184.71,184.69,269,138.15,181.02,180.59,175,168.22,161.5,161.19,162.73,162.91,166.54,171.14,185.6
EQIX,"Equinix, Inc.",Real Estate,73679814656,1.68,0.07,0.22,144.18,3821750016,68.97,56.08,10.88,0.08,0.12,147.97,9075999744,4569999872,3900000000,1071000000,13.38,0.23,2.5,18.76,965.28,1200,804,750.41,750.41,747.47,750.41,977.63,693.42,764.11,779.18,793.09,801.44,796.29,792.84,788.75,784.27,806.43,812.54,833.84
EQR,Equity Residential,Real Estate,24235542528,0.91,0.05,0.29,29.08,1397780608,20.26,36.44,3.04,0.1,0.38,76.24,3078827008,1939968000,1877712000,1155692032,1.69,1.01,4.5,2.77,70.56,80,61,61.58,61.58,60.89,61.58,75.25,58.19,59.88,59.87,59.74,60.6,61.71,62.3,62.6,63.18,64.73,65.55,66.2
EQT,EQT Corporation,Energy,36819951616,0.21,0.51,0.35,37.1,1615665408,19.22,23.41,3.07,0.08,0.23,30.68,7708868096,5974376960,5210795008,1780542976,2.52,,1.12,0.66,64,84,46,59,59,57.37,59,60.65,40.04,58.35,58.71,57.57,56.26,55.26,54.48,53.91,53.86,54.3,53.26,52.11
ERIE,Erie Indemnity Company,Financial Services,15385769984,0.44,0.07,0.2,44.16,409099616,23.75,21.96,12.39,0.3,0.16,2.35,4040325120,726780032,814471232,647984000,13.4,0.14,1.86,5.46,,,,294.24,294.24,294.68,294.24,451.6,279.78,290.75,288.25,289.11,299.28,306.51,310.34,319.34,327.76,336.16,354.11,363.95
ES,Eversource Energy,Utilities,25025116160,0.82,0.05,0.22,42.73,103500128,18.43,13.95,3.62,0.09,0.1,184.36,13148535808,7150917120,4586080256,1343586048,4.78,,4.51,3.01,72.73,87,60,66.7,66.7,66.17,66.7,75.25,51.06,68.72,69.98,71,71.83,71.28,69.96,68.79,67.84,65.97,64.14,62.54
ESS,"Essex Property Trust, Inc.",Real Estate,18104227840,0.77,0.06,0.34,87.44,943816256,19.92,43.54,13.16,0.16,0.44,115.14,1916711040,1316839040,1233804032,846545984,6.02,0.39,3.92,10.28,286.03,318,239,262.12,262.12,259.65,262.12,307.81,239.32,256.92,257.6,256.78,257.79,259.66,260.34,260.34,263.3,268.21,272.32,273.75
ETN,Eaton Corporation plc,Industrials,1.3302E+11,0.41,0.1,0.2,48.51,2315500032,34.24,28.36,9.98,0.21,0.15,59.66,26633000960,10190999552,6115999744,3926000128,12.05,0.02,1.22,4.16,410.77,500,288,341.69,341.69,338.55,341.69,398.4,230.37,340.18,349.46,359.21,364.57,368.06,366.61,363.23,365.3,351.84,334.46,335.62
ETR,Entergy Corporation,Utilities,43118931968,0.59,0.12,0.3,37.31,-3257634304,23.78,12.47,4.06,0.11,0.14,179.36,12730047488,6190900224,5664671744,1808936960,7.74,0.02,2.65,2.56,104.06,116,86,96.55,96.55,95.93,96.55,98.58,70.55,94.78,95.21,95.32,95.34,94.38,93.3,92.32,90.79,87.65,86.25,84.14
EVRG,"Evergy, Inc.",Utilities,17751812096,0.73,0,0.36,44.7,-477237504,21.13,19.09,3.65,0.08,0.14,142.45,5878799872,3087699968,2709499904,849500032,4.04,0.01,3.61,2.78,84.32,93,77,77.11,77.11,76.74,77.11,79.32,57.93,76.03,76,76.05,76.45,75.83,75.03,74.23,72.92,70.58,69.23,67.45
EW,Edwards Lifesciences Corporation,Healthcare,50930929664,0,0.15,0.27,17.57,524500000,38.05,35.41,2.28,0.13,0.23,6.86,5883800064,4600399872,1788400000,1342200064,2.45,-0.9,,,93.94,105,83,86.75,86.75,86.8,86.75,87.09,64.89,85.47,85.21,84.57,82.17,79.42,79.22,79.43,79.09,78.12,76.42,75.6
EXC,Exelon Corporation,Utilities,47035105280,0.57,0.09,0.22,27.83,-1639750016,16.69,17.71,2.79,0.1,0.12,177.6,24316999680,10282999808,8031000064,2820999936,2.63,0.23,3.44,1.6,49.75,57,42,46.57,46.57,45.93,46.57,48.51,34.98,45.97,45.88,45.88,46.38,45.79,45.3,45.04,44.61,44.08,43.88,42.55
EXE,Expand Energy Corporation,Energy,28287414272,1.03,3.19,0.29,76.21,2199749888,38.19,28.01,3.11,0.06,0.08,27.95,10778999808,4656999936,4529999872,867000000,4.24,,2.69,3.19,130.56,162,86,118.77,118.77,116.91,118.77,121.47,88.35,116.75,116.47,113.61,109.92,107.5,105.55,103.43,102.65,105.54,104.54,103.18
EXPD,"Expeditors International of Washington, Inc.",Industrials,19999481856,0.24,-0.04,0.1,17.02,743463488,24,27.39,6.14,0.37,0.08,24.55,11167760384,1528009984,1160615040,845502976,5.38,0.01,1.05,1.54,127.33,166,90,147.36,147.36,146.73,147.36,140.72,99.78,141.88,141.21,137.48,131.36,126.96,126.25,125.12,122.76,119.48,118.14,117.19
EXPE,"Expedia Group, Inc.",Consumer Cyclical,31871608832,0.12,0.09,0.26,10.87,2561874944,24.82,17.94,10.38,0.54,0.1,250.29,14369999872,12924999680,2179000064,1388000000,14.36,0.45,0.62,1.6,269.79,350,180,257.62,257.62,257.53,257.62,264.2,129.46,250.16,254.65,243.23,235.4,228.51,227.1,223.66,213.92,198,191.45,189.45
EXR,Extra Space Storage Inc.,Real Estate,29537257472,1.45,0.03,0.46,64.16,880051136,29.82,27.88,4.47,0.07,0.28,94.25,3421972992,2563203072,2260354048,947441984,4.78,-0.14,4.86,6.48,155.15,178,144,133.29,133.29,132.24,133.29,168.1,118.4,131.14,131.55,131.84,137.79,139.4,140.21,139.88,140.77,142.39,142.58,143.83
F,Ford Motor Company,Consumer Cyclical,52555534336,0.64,0.09,0.03,11.89,3968624896,11.27,7.54,1.17,0.1,0.02,346.67,1.89588E+11,14323000320,9708000256,4705999872,1.75,1.73,4.55,0.6,12.52,16,9.8,13.19,13.19,13.17,13.19,13.81,8.11,12.98,13.07,13.01,12.84,12.4,12.25,12.1,11.83,11.31,10.79,10.51
FANG,"Diamondback Energy, Inc.",Energy,43223171072,0.27,0.42,0.37,136.25,-2041874944,10.49,10.2,14.24,0.11,0.29,35.66,14625999872,10961000448,10597999616,4177999872,14.64,0.1,2.68,4,178.6,219,143,149.31,149.31,147.3,149.31,182.18,112.4,147.49,146.69,144.6,143.6,143.32,142.33,142.26,142.08,140.74,141.46,145.77
FAST,Fastenal Company,Industrials,46265839616,0.8,0.12,0.21,3.39,761350016,38.02,18.4,1.06,0.33,0.15,13.28,7997599744,3610700032,1795299968,1226499968,2.19,0.12,2.18,0.88,43.46,49,31,40.3,40.3,40.09,40.3,50.37,34.62,39.95,40.28,40.57,41.14,43.35,44.07,45.12,45.3,43.82,42.3,41.27
FCX,Freeport-McMoRan Inc.,Basic Materials,60524478464,0.42,0.03,0.28,13.02,2113374976,29.48,19.51,1.43,0.15,0.08,30.59,26001999872,10067999744,9562000384,2064999936,2.16,0.28,1.42,0.6,47.97,58,25,42.15,42.15,41.78,42.15,48.78,27.35,40.45,40.58,40.55,40.84,40.8,41.55,41.86,42.15,41.42,40.16,39.92
FDS,FactSet Research Systems Inc.,Financial Services,10380664832,0.28,0.06,0.3,58.08,519179872,17.83,14.85,15.56,0.29,0.26,71.28,2321747968,1223965952,905993984,597040000,18.68,0.73,1.59,4.4,335.94,430,282,277.41,277.41,276.79,277.41,495.04,250.5,274.26,272.41,269.67,275.01,279.36,292.94,309.43,335.24,370.54,387.34,404.04
FDX,FedEx Corporation,Industrials,65083588608,0.33,0.14,0.08,117.67,4405250048,16.18,12.12,17.05,0.15,0.05,,88590999552,24315000832,11120000000,4116999936,22.75,-0.13,2.1,5.8,271.93,320,200,275.83,275.83,274.3,275.83,301.45,191.82,267.45,266.2,262.47,255.74,247.84,244.27,241.08,237.95,232.12,232.72,240.15
FE,FirstEnergy Corp.,Utilities,27358240768,0.76,0.11,0.21,22.16,-1898499968,20.59,16.39,2.3,0.11,0.09,193.67,14282999808,9648000000,4477000192,1330000000,2.89,0.04,3.76,1.78,49.92,54,47,47.36,47.36,47.05,47.36,47.73,36.45,46.61,46.48,46.2,46.21,45.78,45.32,44.88,43.93,42.76,41.81,41.14
FFIV,"F5, Inc.",Technology,13838108672,0,0.09,0.27,62.27,761381632,20.21,15.47,11.79,0.21,0.22,7.29,3088071936,2514094080,883832000,692380032,15.4,0.16,,,291.5,336,250,238.22,238.22,240.76,238.22,346,227.04,232.7,235.16,239.35,256.46,285.97,292.16,296.86,299.04,294.32,289.09,284.71
FI,"Fiserv, Inc.",Technology,34314950656,0,0.01,0.25,46.78,4193125120,9.86,7.63,6.47,0.14,0.17,120.58,21159999488,12796999680,9194000384,3607000064,10.19,0.49,,,100.16,250,50,63.8,77.76,60.84,60.8,238.59,60.95,61.6,62.3,62.96,81.56,99.88,105.64,112.03,121.28,137.97,158.16,168.62
FICO,Fair Isaac Corporation,Technology,43141050368,0,0.14,0.48,-73.46,615464128,67.57,48.35,26.6,,0.33,,1990868992,1637147008,950723968,651945984,37.17,0.18,,,2031.78,2400,1230,1797.27,1797.27,1817.93,1797.27,2402.52,1300,1756.43,1759.73,1722.09,1687.97,1664.54,1644.91,1598.2,1566.52,1671.73,1710.83,1774.25
FIS,"Fidelity National Information Services, Inc.",Technology,34153111552,4.88,0.06,0.24,26.7,2390500096,204.31,11.45,0.32,0.01,0.01,94.27,10464000000,3835000064,3124999936,177000000,5.71,0.22,2.45,1.6,81.05,93,60,65.38,65.38,65.14,65.38,87.74,59.51,64.21,64.64,64.23,65,65.48,65.81,66.6,69.32,72.55,72.18,73.77
FITB,Fifth Third Bancorp,Financial Services,28643072000,0.45,0.07,0.4,29.25,,12.93,11.87,3.35,0.12,0.3,,8125000192,8125000192,,2259000064,3.65,0.17,3.69,1.6,50.25,60,43,43.33,43.33,43.18,43.33,47.33,31.68,42.16,42.41,42.3,42.14,42.94,43.31,43.4,43.06,41.47,40.61,41.08
FOX,Fox Corporation,Communication Services,27369443328,0.12,0.05,0.26,27.45,2113874944,13.06,24.73,4.45,0.17,0.12,60.14,16474000384,5889999872,3561999872,2035000064,2.35,-0.26,0.96,0.56,,,,58.12,58.12,57.85,58.12,59.99,40.72,58.38,58.83,58.7,56.79,55.87,55.51,55.19,54.08,52.54,51.72,50.6
FOXA,Fox Corporation,Communication Services,28878475264,0.12,0.05,0.26,27.45,2113874944,14.62,17.44,4.45,0.17,0.12,60.14,16474000384,5889999872,3561999872,2035000064,3.73,-0.26,0.86,0.56,71.53,97,55,65.05,65.05,64.62,65.05,66.64,43.74,64.95,65.37,65.2,63.2,62.13,61.66,61.13,59.7,57.7,56.53,54.96
FRT,Federal Realty Investment Trust,Real Estate,8555801088,1.12,0.06,0.34,35.41,408558016,25.02,32.11,3.94,0.11,0.28,138.76,1257395968,854662976,798544000,337579008,3.07,-0.01,4.59,4.52,109.97,137,100,98.57,98.57,98.05,98.57,113,78.83,97.19,97.34,96.88,97.73,97.95,98.27,97.9,96.58,95.49,95.41,97.47
FSLR,"First Solar, Inc.",Technology,29210349568,0,0.8,0.29,84.01,168763744,20.88,13.05,13.04,0.17,0.28,9.89,5050625024,2022658944,2018718976,1400461952,20.86,0.46,,,271.61,335,150,272.21,272.21,263.5,272.21,281.55,116.56,255.54,259.1,260.28,251.8,240.97,234.89,227.55,215.08,195.58,180.66,181.23
FTNT,"Fortinet, Inc.",Technology,61722730496,0,0.14,0.32,0.99,1709100032,33.15,33.42,2.43,2.28,0.29,148.12,6554699776,5300499968,2170700032,1873600000,2.41,-0.11,,,87.45,120,66,80.55,80.55,80.81,80.55,114.82,70.12,80.33,80.94,82.15,82.99,83.6,82.95,82.05,86.11,91.86,94.02,94.79
FTV,Fortive Corporation,Technology,18009643008,0.12,0.02,0.16,20.48,1297374976,20.96,12.76,2.54,0.1,0.1,52.24,6260299776,3739599872,1680899968,884800000,4.17,-0.74,0.45,0.24,57.19,66,50,53.23,53.23,53.11,53.23,62.58,45.4,51.75,51.71,51.37,50.7,50.01,49.71,49.38,49.49,50.7,51.84,53.18
GD,General Dynamics Corporation,Industrials,91851759616,0.38,0.11,0.1,90.59,3506500096,22.02,21.15,15.44,0.18,0.08,40.42,51508998144,7895000064,6240000000,4215000064,16.08,0.16,1.76,6,380.8,415,300,340.04,340.04,341.14,340.04,360.5,235.63,341.35,343.65,343.46,342.78,338.91,336.3,332.69,326.28,309.69,296.95,289.57
GDDY,GoDaddy Inc.,Technology,17589948416,0,0.1,0.24,0.68,1217712512,21.87,18.93,5.81,3.69,0.17,4217.21,4869799936,3096900096,1218400000,828499968,6.71,0.14,,,175.06,240,134,127.05,127.05,126.01,127.05,216,125,126.55,128.09,129.47,129.88,133.02,135.17,137.27,143.29,156.09,161.36,169.98
GE,GE Aerospace,Industrials,3.14548E+11,0.18,0.24,0.21,17.83,5170500096,39.71,56.61,7.47,0.42,0.18,115.25,43949998080,14266000384,11264000000,8054000128,5.24,0.19,0.49,1.44,339,374,275,296.62,296.62,295.21,296.62,316.67,158.62,296.81,300.51,302.5,303.48,301.64,298.47,292.83,286.31,268.67,250.43,236.43
GEHC,GE HealthCare Technologies Inc.,Healthcare,36812595200,0.03,0.06,0.14,21.94,1485250048,16.69,17.27,4.83,0.24,0.11,105.13,20245999616,8261000192,3625999872,2216000000,4.67,-0.04,0.17,0.14,88.11,108,73,80.63,80.63,80.07,80.63,94.66,57.57,75.11,74.72,74.73,75.33,74.83,75.17,74.87,74.7,73.7,74.94,76.64
GEN,Gen Digital Inc.,Technology,16182630400,0.55,0.25,0.36,3.98,1076625024,28.84,10.71,0.91,0.25,0.13,356.98,4472999936,3548000000,1944000000,570000000,2.45,-0.19,1.91,0.5,32.85,46,25,26.24,26.24,26.7,26.24,32.09,22.55,26.34,26.37,26.22,26.37,26.96,27.32,28.02,28.42,28.35,27.8,27.8
GEV,GE Vernova Inc.,Industrials,1.60536E+11,0.12,0.12,0.06,31.87,2413625088,96.2,85.47,6.13,0.17,0.05,11.1,37669998592,7416000000,2935000064,1704000000,6.9,,0.17,1,681.43,760,420,589.72,589.72,581.7,589.72,677.01,251.84,572.04,573.35,571.26,576.5,593.03,596.67,599.7,602.49,554.99,496.72,468.92
GILD,"Gilead Sciences, Inc.",Healthcare,1.58215E+11,0.49,0.03,0.45,17.34,8028000256,19.74,17.16,6.46,0.41,0.28,116.24,29087000576,22896001024,14136000512,8110000128,7.43,1.43,2.48,3.16,130.63,153,105,127.51,127.51,126.94,127.51,124.61,83.59,126.11,124.57,123.67,122.7,119.36,118.42,117.74,116.33,112.81,111.46,107.39
GIS,"General Mills, Inc.",Consumer Defensive,25221130240,0.46,-0.07,0.16,17.78,2124150016,8.92,10.04,5.29,0.31,0.15,151.35,19156000768,6587899904,3759699968,2908999936,4.7,1.16,5.17,2.44,53.37,63,46,47.17,47.17,47.03,47.17,65.04,45.8,47.42,47.18,46.97,47.34,48.14,48.33,48.44,48.69,50.01,51.89,53.48
GL,Globe Life Inc.,Financial Services,10924946432,0.08,0.04,0.34,70.84,1392902912,9.79,9.95,13.78,0.22,0.19,55.22,5940974080,2026852992,1621281024,1150350976,13.55,0.38,0.8,1.08,166.27,188,145,134.87,134.87,135.94,134.87,147.54,99.43,132.53,132.61,132.51,133.2,136.03,136.85,137.24,135.54,130.64,128.89,125.63
GLW,Corning Incorporated,Technology,71675330560,0.72,0.21,0.15,14.28,1098875008,53.59,36.19,1.56,0.13,0.09,76.51,14915000320,5366000128,3392000000,1366000000,2.31,,1.34,1.12,93.31,109,60,83.6,83.6,83.62,83.6,92.57,36.95,81.36,83.1,84.43,85.06,83.99,82.39,79.13,73.79,65.38,60.44,58.05
GM,General Motors Company,Consumer Cyclical,69320785920,0.1,0,0.06,71.14,1771624960,13.9,6.89,5.24,0.04,0.02,195.44,1.87435E+11,18886000640,15704999936,4784999936,10.57,-0.5,0.82,0.6,74.15,100,46,72.81,72.81,72.44,72.81,70.76,41.36,70.17,70.47,69.85,68.32,64.47,63.45,62.23,59.85,56.06,53.75,53.25
GNRC,Generac Holdings Inc.,Industrials,8733363200,0,-0.05,0.09,45.05,227941872,28.4,18.13,5.24,0.12,0.07,56.13,4352443904,1717074048,684027008,312870016,8.21,-0.41,,,206,240,172,148.82,148.82,148.13,148.82,203.25,99.5,146.44,149.76,153.19,165.36,168.21,170.72,174.83,173.24,158.11,150.48,152.53
GOOG,Alphabet Inc.,Communication Services,3.86637E+12,0.08,0.16,0.31,32.03,47997751296,31.65,35.79,10.12,0.35,0.32,11.42,3.85476E+11,2.28095E+11,1.45174E+11,1.24251E+11,8.95,0.35,0.26,0.84,311.21,345,185,320.28,320.28,320.78,320.28,291.59,140.23,297.17,294.37,290.86,280.38,267.17,262.91,251.9,236.71,214.34,202.32,200.09
GOOGL,Alphabet Inc.,Communication Services,3.87527E+12,0.08,0.16,0.31,32.03,47997751296,31.55,35.71,10.14,0.35,0.32,11.42,3.85476E+11,2.28095E+11,1.45174E+11,1.24251E+11,8.96,0.35,0.26,0.84,323.7,390,185,319.95,319.95,320.68,319.95,143.1,102.41,296.82,293.94,290.41,279.86,266.58,262.37,251.31,236.04,213.47,201.16,198.85
GPC,Genuine Parts Company,Consumer Cyclical,18064889856,0.7,0.05,0.06,34.41,259586496,22.39,15.33,5.8,0.17,0.03,133.16,24060899328,8909689856,1930909056,808499008,8.47,0,3.17,4.12,146.11,190,130,129.86,129.86,128.54,129.86,118.69,65.53,127.2,127.02,126.49,128.41,131.64,133.03,133.84,132.53,128.81,126.02,124.07
GPN,Global Payments Inc.,Industrials,18188255232,0.15,0.01,0.32,95.8,2422775808,11.38,5.86,6.59,0.07,0.17,69.2,10076184576,6289113088,4384649216,1636066048,12.8,1.13,1.33,1,103.74,194,65,74.97,74.97,73.82,74.97,261.69,167.87,73.29,74.23,75.42,78.81,81.72,82.41,83.35,82.85,81.17,84.27,89.65
GRMN,Garmin Ltd.,Technology,37495894016,0.41,0.12,0.26,44.07,908814848,24.05,26.11,8.1,0.2,0.23,2.34,6943124992,4077967872,1967053056,1570939008,7.46,0.01,1.85,3.6,231.14,305,185,194.79,194.79,192.84,194.79,825.25,434.87,191.79,194.29,198.72,214.6,227.76,229.29,230.2,228.97,219.59,216.45,215.29
GS,"The Goldman Sachs Group, Inc.",Financial Services,2.47023E+11,0.26,0.21,0.37,348.02,,16.58,19.63,49.21,0.14,0.29,586.14,57336999936,47587999744,,15788000256,41.56,0.46,1.96,16,802.53,898,630,816.01,816.01,805.84,816.01,1219.65,889.92,789.1,794.56,793.02,784.53,786.7,783.81,773.74,758.51,709.73,670.9,655.48
GWW,"W.W. Grainger, Inc.",Industrials,45206253568,0.24,0.06,0.15,74.77,1084375040,26.46,22.44,35.72,0.47,0.1,68.67,17749999616,6938999808,2976999936,1730000000,42.11,-0.38,0.96,9.04,1051.27,1233,930,945.1,945.1,938.11,945.1,31.66,18.43,931.95,936.63,943.58,950.07,953.56,961.43,968.96,978.5,1003.66,998.65,1018.02
HAL,Halliburton Company,Energy,21988610048,0.45,-0.02,0.13,12.1,1968625024,17.08,7.94,1.51,0.13,0.06,83.61,22136999936,3580000000,4195000064,1308999936,3.25,-0.97,2.64,0.68,30.29,43,24,25.79,25.79,25.79,25.79,82.19,48.07,26.28,26.65,26.76,26.27,25.25,24.74,24.12,23.49,22.52,22.82,23.69
HAS,"Hasbro, Inc.",Consumer Cyclical,11601661952,0.92,0.08,0.25,2.9,460337504,,18.66,-3.99,-0.63,-0.13,771.39,4357000192,2799300096,1048899968,-558300032,4.43,0.03,3.39,2.8,91.54,100,80,,82.67,81.56,82.67,17.93,11.7,78.29,78.02,77.31,76.73,75.63,75.89,76.65,76.27,72.85,69.14,66.75
HBAN,Huntington Bancshares Incorporated,Financial Services,25501448192,0.43,0.15,0.39,13.37,,11.38,12.14,1.43,0.1,0.3,,7502000128,7502000128,,2108999936,1.34,0.24,3.82,0.62,19.7,23,15,16.27,16.27,16.13,16.27,478.88,288.25,15.7,15.74,15.62,15.64,16.15,16.38,16.51,16.5,16.2,15.77,15.9
HCA,"HCA Healthcare, Inc.",Healthcare,1.2045E+11,0.11,0.1,0.15,-23.21,6101125120,19.92,20.97,25.84,,0.09,,74371997696,30773000192,15100999680,6344000000,24.55,0.43,0.56,2.88,477.7,525,368,514.76,514.76,515.22,514.76,429.19,322.47,488.12,482.36,477.86,466.64,447.6,440.71,432.83,415.35,400.09,381.81,368.06
HD,"The Home Depot, Inc.",Consumer Cyclical,3.53874E+11,0.62,0.03,0.13,12.18,9733999616,24.26,22.79,14.65,1.63,0.09,544.59,1.66189E+11,55432998912,25586999296,14581999616,15.6,-0.01,2.59,9.2,403.36,465,320,355.47,355.47,350.26,355.47,135.17,103.64,347.83,354.65,361.43,369.92,380.97,387.25,390.33,385.79,377.9,374.28,379.6
HIG,"The Hartford Insurance Group, Inc.",Financial Services,38630170624,0.17,0.07,0.19,64.78,5641750016,11.25,11.83,12.21,0.2,0.13,23.68,27917000704,10170999808,4866999808,3536999936,11.61,0.47,1.75,2.4,142.21,163,120,137.39,137.39,137.9,137.39,330,155.93,134.77,133.7,131.39,129.02,130.08,130.34,130.63,128.86,127.86,124.97,122.2
HII,"Huntington Ingalls Industries, Inc.",Industrials,12333974528,0.37,0.16,0.06,127.01,505750016,21.69,20.05,14.49,0.12,0.05,58.71,12012000256,1504000000,1062000000,569000000,15.68,0.44,1.76,5.52,331.89,362,264,314.31,314.31,315.39,314.31,279.81,195.81,310.16,312.28,312.92,305.58,296.31,292.25,287.5,280.73,263.7,245.82,234.35
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,67211317248,0.09,0.04,0.6,-21.16,2064125056,41.48,35.77,6.89,,0.34,,4870000128,3775000064,2737999872,1664999936,7.99,0.29,0.21,0.6,283.72,332,234,285.77,285.77,284.8,285.77,80.31,51.9,272.33,272.78,269.13,267.46,265.27,266.71,267.95,268.22,261.99,255.25,254.41
HOLX,"Hologic, Inc.",Healthcare,16673311744,0,0.06,0.33,22.68,807699968,30.04,15.85,2.49,0.11,0.14,52.04,4100499968,2493799936,1351100032,565699968,4.72,0.11,,,76.5,80,70,74.8,74.8,74.7,74.8,226.64,167.32,74.38,74.38,74.29,73.79,71.17,70.28,69.71,68.79,66.13,64.96,66.44
HON,Honeywell International Inc.,Industrials,1.28029E+11,0.48,0.07,0.19,26.43,5684125184,20.04,17.26,9.48,0.35,0.15,215.25,40669999104,15025000448,9777999872,6128999936,11.01,0.32,2.41,4.58,241.67,271,205,189.99,189.99,192.29,189.99,153.86,29.21,192.37,193.65,194.63,195.56,195.27,196.01,197.77,201.39,203.41,200.28,201.57
HOOD,"Robinhood Markets, Inc.",Financial Services,1.15276E+11,0,1,0.52,9.53,,53.42,175.62,2.4,0.28,0.52,188.79,4204000000,3878000128,,2193999872,0.73,2.6,,,151.95,180,86,128.2,128.2,121.33,128.2,26.44,11.82,116.47,121.13,126.71,130.05,132.48,129.42,124.95,119.86,102.84,88.4,79.49
HPE,Hewlett Packard Enterprise Company,Technology,28407760896,0.61,0.18,0.05,18.5,-252500000,25.33,10.25,0.85,0.05,0.04,96.97,33074999296,9882000384,4755999744,1136000000,2.1,-0.45,2.42,0.52,26.5,31,21,21.53,21.53,21.6,21.53,38.25,20.76,21.3,21.91,22.54,22.83,23.63,23.7,23.36,22.64,21.01,19.9,20.22
